ID;BOITE;ASSET;UPC;TITRE
216;2;GU000216;3475001003720;P.I., Post Impact
217;2;GU000217;3388330040994;Les Tuche
218;2;GU000218;3476473079398;Tim
219;2;GU000219;3384442120821;Le Parfum (IMPORT)
220;2;GU000220;3475001009937;Coast Guards
221;2;GU000221;3530941022054A;Illicite Dreams
222;2;GU000222;3700173200555;A Pleine Vitesse
223;2;GU000223;3512391740917;Appaloosa
224;2;GU000224;3335901556651;Mutinerie
225;2;GU000225;3530941022054;DRILLER KILLER
226;2;GU000226;3512391554569;Bad Lieutenant - Escale à La Nouvelle-Orléans
227;2;GU000227;3606313143600;Le Dernier Château
228;2;GU000228;3512391440930;La Loi Et L'ordre [Édition Prestige]
229;2;GU000229;3512391439842;Braquage à L'anglaise
230;2;GU000230;5050582708981;Duplicity
231;2;GU000231;Aucun1;JACKNIFE
232;2;GU000232;Aucun2;MEURTRE A TULSA
233;7;GU000233;3333297194464;Gladiator [Édition Single]
234;7;GU000234;3333297199070;HANCOCK
235;7;GU000235;3760062466196;TAKEN
236;7;GU000236;3384442162463;Rescue Dawn
237;7;GU000237;3333297611879;1492: Conquest of Paradise
238;7;GU000238;7321950137725;Sur la route de Madison
239;7;GU000239;7321950149155;Meurtre à la Maison Blanche
240;7;GU000240;3541351962656;Nuclear Alert
241;7;GU000241;7321950200276;L'Etoffe Des Hros [DVD]
242;7;GU000242;3344422298452;Le Grand Bleu [Version Longue] [DVD]
243;7;GU000243;3259130131123;The Crusader
244;7;GU000244;3530941012536;La Vérité Si Je Mens ! 2
245;7;GU000245;8712626037422;Hitman
246;7;GU000246;3607483178867;Les Lyonnais [DVD]
247;7;GU000247;3476473094506;Marines
248;7;GU000248;3388330033293;Bienvenue chez les CH'TIS
249;7;GU000249;3530941022054;F.T.W
250;7;GU000250;3388330040055;Largo Winch Ii - DVD Movie
251;3;GU000251;3512391563028;IP Man 1 et 2
252;3;GU000252;3384442144179;Hannibal Lecter Les Origines Du Mal
253;3;GU000253;3333297614269;Terminator Renaissance
254;3;GU000254;3344428043346;Avatar
255;3;GU000255;3384442215947;Les Seigneurs De La Guerre [DVD]
256;3;GU000256;3333973122606;Gatsby Le Magnifique
257;3;GU000257;3384442216012;Walkyrie
258;3;GU000258;3333973138942;Forrest Gump [dition Simple] [DVD]
259;3;GU000259;5051889002574;Mensonges D'Etat
260;3;GU000260;3384442162500;Le Rêve De Cassandre
261;3;GU000261;3512391430498;La faille
262;3;GU000262;0602498231814;Sultans of Swing: the Very Best of Dire Straits
263;3;GU000263;3607483159736;MR 73
264;3;GU000264;3344428008611;Le choix d'aimer
265;3;GU000265;3760066105237;Mort Ou Presque
266;3;GU000266;3333297541367;Sept Vies
267;3;GU000267;3333297919807;A la recherche du bonheur
268;4;GU000268;5050582485103;Rich Man, Poor Man: Book Two, Chapters 1-21 (Box Set) - DVD
269;4;GU000269;3476473094506;ROCK My World
270;4;GU000270;3530941018118;MOSSAD (Services secrets d'état)
271;4;GU000271;3322069945519;300
272;4;GU000272;3476473077714;American Yakuza
273;4;GU000273;7321950025794; 
274;4;GU000274;3476473094506A;Borrower
275;4;GU000275;3530941022054;Exit in Red
276;4;GU000276;3476473094506B;Air Strike
277;4;GU000277;3499550232868;Le Prix De L'honneur
278;4;GU000278;3760066105343;STORMY MONDAY- RUBY CAIRO (DVD 2 Films)
279;4;GU000279;3530941022054A;La dernière preuve
280;4;GU000280;3530941011485;Dirty Dancing
281;4;GU000281;3476473094506C;Shock
282;4;GU000282;3333297600309;Premier De Cordee
283;4;GU000283;3760062467636;L'Ile Mystérieuse
284;4;GU000284;3388334507509;Astrix et Oblix : Mission Cléopatre [DVD]
285;4;GU000285;3760062464369;Taxi 4
286;6;GU000286;5050582036916;Dans La Peau De John Malkovich
287;6;GU000287;3512391509217;Jules César [Édition Simple]
288;6;GU000288;3335901556774;Séisme
289;6;GU000289;3259119595427;DOOMSDAY
290;6;GU000290;3476473074317;Tireur D'élite
291;6;GU000291;3700173201989;Summer of SAM
292;6;GU000292;3384442215664;In the Shadow of the Moon
293;6;GU000293;3512391342517;Les Insurgés
294;6;GU000294;8717418115654;Esprits Criminels, Saison 1 - Coffret 6 DVD
295;6;GU000295;8717418150228;Esprits Criminels - Saison 2
296;6;GU000296;3333297501521;Nos Plus Belles Années - Édition Collector
297;6;GU000297;5050582754995;Robin des Bois
298;6;GU000298;3770000694543;TITANIC
299;6;GU000299;3344428043469;Night and Day
300;6;GU000300;7321950213481;The Pledge
301;6;GU000301;7321950319541;Tout Peut Arriver
302;6;GU000302;3333973134654;Propriété interdite
303;8;GU000303;3322069948176;La Jeune Fille Et Les Loups
304;8;GU000304;8717418175344;Le Monde De Narnia, Chapitre 2 : Le Prince Caspian
305;8;GU000305;3476473094506A;Le Cercle
306;8;GU000306;3512391537975;Mongol
307;8;GU000307;3541351962656;Cyber Tracker
308;8;GU000308;3512391431228;Le Contrat
309;8;GU000309;3388330030025;Le Secret De Brokeback Mountain [dition Simple] [DVD]
310;8;GU000310;3384442192958;3H10 Pour Yuma
311;8;GU000311;3333297878708;The next Level
312;8;GU000312;3384442078375;SUSPICION
313;8;GU000313;3530941022054A;ICE STORM
314;8;GU000314;3530941022054B;Syndrome
315;8;GU000315;3476473094506B;Les monstres du Labyrinthe
316;8;GU000316;3530941020401;Association De Malfaiteurs
317;8;GU000317;3333973146879;World Trade Center
318;8;GU000318;5050582564266;Intraçable
319;8;GU000319;3384442172684;Dans La Brume électrique
320;8;GU000320;3388334570015;Alexandre
321;13;GU000321;3333297918152;Truman Capote [Édition Collector]
322;13;GU000322;5051889005728;Gran Torino
323;13;GU000323;5051889005025;L'Etrange Histoire De Benjamin Button
324;13;GU000324;3344428027865;Sunshine
325;13;GU000325;3512391434953;Le Prix De La Loyaute [Édition Prestige]
326;13;GU000326;3333973175121;Mission Impossible : Protocole fantôme
327;13;GU000327;3700724900040;Ong-bak 3 - L'ultime Combat
328;13;GU000328;3344428048617;Time Out [FR Import]
329;13;GU000329;3459370408508;Pirates Des Caraïbes - Édition Collector 2 DVD
330;13;GU000330;3607483189641;En Solitaire
331;13;GU000331;5051889264682;Gravity
332;13;GU000332;5051889233626;L'incroyable Histoire De Winter Le Dauphin
333;13;GU000333;3512391392024;Le Majordome [DVD]
334;13;GU000334;3388330045913;Zulu (2013)
335;13;GU000335;7321910294475;Je Suis Une Légende
336;13;GU000336;3388330045340;Rush [DVD]
337;13;GU000337;Aucun;L'enjeu
338;14;GU000338;3330240075023;Coffret Sissi Vol. 2 : Sissi Face a Son Destin / Sissi, Les Jeunes Années D'une Reine - Coffret 2 DVD
339;14;GU000339;3330240075016;Sissi et Sissi Imperatrice
340;14;GU000340;5050582304626;Columbo Saison 1
341;14;GU000341;5050582343458;Columbo : L'Intégrale Saison 2 - Coffret 4 DVD
342;14;GU000342;5050582362329;Columbo : L'Intégrale Saison 3 - Coffret 4 DVD
343;14;GU000343;5050582451054;Columbo : L'Intégrale Saison 5 - Coffret 3 DVD - 6 Episodes
344;14;GU000344;5050582476118;Columbo Saison 6 et 7
345;14;GU000345;5050582500103;COLOMBO - INTEGRALE SAISONS 8 Et 9 (5 DVD)
346;14;GU000346;5050582517347;Integrale Saison 10 Et 11
347;14;GU000347;5051889034070;La Lumière Des Justes - L'intégrale 4 DVD
